このような環境のもと、当社グループは価値あるものをお客様に提供できるよう、漁港直送鮮魚の調達拡大をはじめとする、食の六次産業化と地産地消・地産全消の推進に積極的に取り組んでおります	10
個人消費では、百貨店・スーパー販売額におきまして、惣菜をはじめとした食料品が堅調に推移する一方、残暑が長引いた影響により衣料品販売が不振となるなど、全体としては一進一退の動きとなりました	10
情報通信機器の普及状況を見ると、スマートフォンが72.0％（前年同期比7.8ポイント増）、タブレット端末が33.3％（前年同期比7.0ポイント増）と、いずれも保有率は大きく上昇しております	12
当事業の売上高は14,232百万円（前期比1.2％増）、受注高は14,635百万円（前期比4.2％増）、セグメント利益は2,095百万円（前期比5.5％増）となりました	13
このような状況の下、当社グループは、販売戦略の要である「テキスタイル・プロジェクト」において、在庫の適正化や素材企画力を活かした売れ筋商品の開発、グループ会社との合同展示会開催などによる販売強化に努めたものの、川下にあたるアパレル市況の低迷により、業績改善には至りませんでした	9
CSR活動としては、無料の「着衣水泳教室」を継続して実施しており、直営店舗近隣にある全国の小学校に対し教育支援・水難事故防止を目的として、全国約200校 20,000名に実施し、この取り組みにより東京都より「平成28年度東京都スポーツ推進企業」として認定されました	10
当連結会計年度における各地域の経済・市場概況は、日本では企業収益や設備投資の一部に緩やかな改善が見られるものの、海外においては、新興国経済の減速や米国の政権移行等による世界情勢の不安定感、英国のＥＵ離脱問題など、依然として先行き不透明な状況が続いております	10
（注）本有価証券報告書における「富士電機」の表現は、当社並びに子会社及び関連会社から成る企業集団を指します	10
なお、空室率（オフィスビル・商業施設）は既存物件でのテナント入替の影響等により2.0％と前期末から上昇しましたが、引き続き低水準を維持しております	9
これらの結果、売上高は398億２百万円（前連結会計年度比3.5％増）、営業利益は23億５千２百万円（同5.3％増）となりました	12
営業利益減少の主な要因は、減価償却方法の変更により71百万円増加、尼崎事業所関連の減価償却費負担で64百万円減少ならびに移転費用や什器等の費用により96百万円減少したことであります	10
セグメントの業績は次のとおりであります	10
また、米国では引き続き景気回復傾向にあり、欧州・アジア地区でも総じて持ち直しの動きがみられております	13
このような状況のもと、当社グループは、引き続き、「安心・信頼・便利の提供」をキーワードに、お客様のニーズにお応えする質の高い出店やサービスレベルの向上、プライベートブランド商品の開発、新業態の開発、店舗改装など積極的に取り組み、活性化を図ってまいりました	10
当社の主要な取引先である電力業界は、電力小売自由化によって業種や業態の垣根を越えたさまざまな企業が市場に参入し競争が本格化、さらに平成32年には発送電分離が迫るなど、大きな転換期に差し掛かっております	10
（鉄鋼事業）	10
事業の成果としては、当連結会計年度の契約実行高はファイナンス事業の減少などあったものの賃貸・割賦事業の増加により前連結会計年度に比べて0.1％増の１兆4,999億91百万円となりました	11
この結果、主力カテゴリーである１日使い捨てコンタクトレンズにおいては、前期より注力しておりますスペック拡充や広告宣伝効果等により「ワンデーピュアシリーズ」の乱視用を中心に伸長しており、「ワンデーピュアシリーズ」が前期対比で23％の増加となりました	12
この結果、報告セグメントにおける米州地域の売上高は、前期比25.1％増の604億20百万円となり、セグメント利益は、前期比117.8％増の23億９百万円となりました	12
